date,open,high,low,close,volume,change
2019/5/30,12.32,12.38,12.11,12.22,64628465,2.1774
2019/5/31,12.16,12.4,12.11,12.18,68679439,2.3732
2019/6/3,12.22,12.33,11.82,11.9,151271905,4.1872
2019/6/4,11.89,11.94,11.6,11.85,97465534,2.8571
2019/6/5,11.97,12.14,11.92,11.97,74889231,1.8565
2019/6/6,11.97,12.07,11.89,11.92,43366526,1.5038
2019/6/10,12.01,12.47,11.98,12.34,114466882,4.1107
2019/6/11,12.34,12.72,12.3,12.65,125108751,3.4036
2019/6/12,12.63,12.66,12.44,12.57,65731018,1.7391
2019/6/13,12.54,12.68,12.43,12.59,53000026,1.9889
2019/6/14,12.59,12.69,12.45,12.49,48319173,1.9063
2019/6/17,12.48,12.79,12.48,12.67,61981588,2.482
2019/6/18,12.67,12.85,12.59,12.8,48355512,2.0521
2019/6/19,13.29,13.39,13.01,13.07,114322639,2.9688
2019/6/20,13.17,13.95,13.12,13.8,152919147,6.3504
2019/6/21,13.76,13.87,13.58,13.64,101112915,2.1014
2019/6/24,13.69,13.83,13.61,13.69,65957285,1.6129
2019/6/25,13.72,13.72,13.07,13.43,146922707,4.748
2019/6/26,13.27,13.5,13.19,13.37,54650476,2.3326
2019/6/27,13.5,13.85,13.45,13.71,92507494,2.9918
2019/6/28,13.73,13.79,13.58,13.78,49809369,1.5317
2019/7/1,14.01,14.18,13.87,13.93,96063600,2.2496
2019/7/2,13.88,14.24,13.86,14.18,105274486,2.7279
2019/7/3,14.18,14.21,13.87,14.01,76907849,2.3977
2019/7/4,14.01,14.28,13.88,13.99,62129252,2.8551
2019/7/5,13.95,13.98,13.69,13.92,74919609,2.0729
2019/7/8,13.82,13.88,13.45,13.59,77841390,3.0891
2019/7/9,13.63,13.71,13.44,13.59,49429611,1.9868
2019/7/10,13.61,13.7,13.49,13.56,35822079,1.5453
2019/7/11,13.68,13.78,13.53,13.54,48418314,1.8437
2019/7/12,13.6,14.23,13.58,14.12,146536652,4.8006
2019/7/15,14.03,14.12,13.84,14,84128276,1.983
2019/7/16,13.97,13.99,13.71,13.75,72278079,2
2019/7/17,13.7,13.81,13.61,13.69,41002063,1.4545
2019/7/18,13.65,13.81,13.56,13.67,42282622,1.8262
2019/7/19,13.74,14.08,13.68,13.99,86639070,2.9261
2019/7/22,13.96,14.02,13.76,13.85,58228330,1.8585
2019/7/23,13.86,13.87,13.65,13.76,50400423,1.5884
2019/7/24,13.87,14.01,13.79,13.88,57027622,1.5988
2019/7/25,13.92,14.27,13.85,14.2,108782641,3.0259
2019/7/26,14.18,14.25,14.08,14.23,63530571,1.1972
2019/7/29,14.25,14.45,14.18,14.29,71557619,1.8974
2019/7/30,14.31,14.55,14.29,14.37,79663432,1.8195
2019/7/31,14.3,14.32,14.08,14.13,63472348,1.6701
2019/8/1,14.06,14.19,13.94,14.1,52798128,1.7693
2019/8/2,13.77,13.88,13.66,13.74,96992646,1.5603
2019/8/5,13.6,13.64,13.27,13.35,89308242,2.6929
2019/8/6,13.1,13.46,13.03,13.37,88249913,3.221
2019/8/7,13.49,13.64,13.37,13.54,79303899,2.0194
2019/8/8,13.9,14.5,13.85,14.38,233071504,4.8006
2019/8/9,14.55,14.85,14.43,14.52,206057513,2.9207
2019/8/12,14.61,15.12,14.6,15.12,273342547,3.5813
2019/8/13,15,15.08,14.74,14.89,129373644,2.2487
2019/8/14,15.14,15.22,14.8,14.97,136054654,2.8207
2019/8/15,14.64,14.96,14.6,14.94,89737626,2.4048
2019/8/16,15.09,15.14,14.78,14.9,98690293,2.4096
2019/8/19,14.91,14.94,14.52,14.92,229295613,2.8188
2019/8/20,14.92,15.2,14.77,14.99,192104150,2.882
2019/8/21,14.87,14.89,14.38,14.45,199013195,3.4023
2019/8/22,14.4,14.45,14.2,14.31,135307158,1.7301
2019/8/23,14.37,14.74,14.35,14.65,163686768,2.7254
2019/8/26,14.42,14.5,14.15,14.25,141512254,2.3891
2019/8/27,14.36,14.48,14.24,14.31,135671337,1.6842
2019/8/28,14.26,14.28,14.05,14.27,82965768,1.6073
2019/8/29,14.22,14.24,14.08,14.13,60903434,1.1212
2019/8/30,14.29,14.39,14.1,14.16,79850057,2.0524
2019/9/2,14.15,14.5,14.11,14.45,136020130,2.7542
2019/9/3,14.48,14.51,14.25,14.3,85865365,1.7993
2019/9/4,14.32,14.5,14.31,14.44,97396487,1.3287
2019/9/5,14.56,14.85,14.55,14.58,176805143,2.0776
2019/9/6,14.71,14.81,14.62,14.81,98643280,1.3032
2019/9/9,14.98,15,14.6,14.69,129983914,2.7009
2019/9/10,14.6,14.64,14.41,14.55,79687064,1.5657
2019/9/11,14.6,14.71,14.46,14.56,81861421,1.7182
2019/9/12,14.66,14.78,14.53,14.68,115068764,1.717
2019/9/16,14.7,14.72,14.4,14.45,92989414,2.1798
2019/9/17,14.36,14.45,14.18,14.24,88265575,1.8685
2019/9/18,14.24,14.48,14.24,14.41,82043633,1.6854
2019/9/19,14.48,14.89,14.48,14.84,188402083,2.8452
2019/9/20,14.95,15.4,14.93,15.34,264428514,3.1671
2019/9/23,15.34,15.47,15.18,15.38,140328200,1.8905
2019/9/24,15.47,15.54,15.18,15.18,112910324,2.3407
2019/9/25,15.2,15.85,15.19,15.75,193889272,4.3478
2019/9/26,15.86,16.04,15.66,15.71,168659258,2.4127
2019/9/27,15.85,16,15.7,15.9,100770627,1.9096
2019/9/30,15.75,15.89,15.57,15.59,104636317,2.0126
